timestamp          , seed, task_filter, num_samples, num_frames, avg_accuracy, avg_inference_time
2026-01-19 18:25:04,   42, mcq        ,         100,          1,        36.00,              0.123
2026-01-19 18:25:44,   42, mcq        ,         100,          2,        32.00,              0.205
2026-01-19 18:27:02,   42, mcq        ,         100,          4,        36.00,              0.383
2026-01-19 18:29:17,   42, mcq        ,         100,          8,        33.00,              0.814
2026-01-19 18:35:00,   42, mcq        ,         100,         16,        35.00,              1.698
2026-01-19 18:45:57,   42, mcq        ,         100,         32,        42.00,              3.487
2026-01-19 19:04:21,   42, mcq        ,         100,         64,        33.00,              7.291
2026-01-19 19:42:43,   42, mcq        ,         100,        128,        32.00,             15.809
2026-01-19 19:43:15,   42, numeric    ,         100,          1,        31.31,              0.166
2026-01-19 19:44:09,   42, numeric    ,         100,          2,        36.82,              0.245
2026-01-19 19:45:19,   42, numeric    ,         100,          4,        43.58,              0.401
2026-01-19 19:47:34,   42, numeric    ,         100,          8,        47.03,              0.835
2026-01-19 19:52:04,   42, numeric    ,         100,         16,        49.87,              1.721
2026-01-19 20:00:59,   42, numeric    ,         100,         32,        48.90,              3.505
2026-01-19 20:19:06,   42, numeric    ,         100,         64,        49.63,              7.299
2026-01-19 20:57:18,   42, numeric    ,         100,        128,        49.07,             15.802
2026-01-19 21:20:44,   42, mcq        ,        2490,          1,        35.74,              0.120
2026-01-19 21:32:55,   42, mcq        ,        2490,          2,        34.90,              0.202
2026-01-19 21:56:54,   42, mcq        ,        2490,          4,        34.78,              0.383
2026-01-19 22:48:42,   42, mcq        ,        2490,          8,        35.70,              0.816
2026-01-20 03:45:51,   42, mcq        ,        2490,         16,        34.86,              1.727
2026-01-20 07:28:15,   42, mcq        ,        2490,         32,        34.94,              3.543
2026-01-20 15:06:50,   42, mcq        ,        2490,         64,        33.90,              7.436
2026-01-20 16:40:40,   42, numeric    ,        2640,          1,        33.22,              0.153
2026-01-20 16:55:39,   42, numeric    ,        2640,          2,        38.90,              0.236
2026-01-20 17:23:38,   42, numeric    ,        2640,          4,        45.25,              0.416
2026-01-20 18:21:49,   42, numeric    ,        2640,          8,        49.33,              0.851
2026-01-20 20:21:35,   42, numeric    ,        2640,         16,        51.75,              1.750
2026-01-21 00:27:09,   42, numeric    ,        2640,         32,        52.26,              3.603
2026-01-21 08:51:33,   42, numeric    ,        2640,         64,        52.18,              7.516
